Year;Cumulative_Shipments;ASP_in_2018USD;;
1976;0,32;70,1225826995601;;
1977;0,77;49,2631219061247;;
1978;1,77;35,3055570395596;;
1979;3,27;31,4971556268508;;
1980;6,57;25,1991741215825;;
1981;11,87;19,0078761028385;;
1982;19,57;19,1288239967967;;
1983;34,07;17,8676928039316;;
1984;51,57;14,5515181256277;;
1985;70,97;13,2537543697225;;
1986;91,97;12,3988428226947;;
1987;116,87;10,3968438163096;;
1988;148,37;10,3244221602077;;
1989;186,27;10,3849726515795;;
1990;228,97;10,6181785017575;;
1991;277,17;9,8589186025129;;
1992;331,27;9,31266463120889;;
1993;386,97;8,29819925212133;;
1994;447,97;8,10970617862222;;
1995;519,47;7,50001793139272;;
1996;602,07;6,23825816821012;;
1997;716,17;6,17751587415372;;
1998;850,97;5,19016800318598;;
1999;1026,47;4,75198683201615;;
2000;1278,47;3,87187427750617;;
2001;1631,37;3,64777296827294;;
2002;2136,27;3,72822363490484;;
2003;2811,57;3,52260408181535;;
2004;3861,37;3,75175404027368;;
2005;5269,07;3,79775374494956;;
2006;7251,47;4,1221015758131;;
2007;10324,47;4,14558450145472;;
2008;15816,27;3,77515810308724;;
2009;23729,27;2,51326794761375;;
2010;41131,57;1,68573984991115;;
2011;64710,87;1,52887900267993;;
2012;90772,67;0,821815178728444;;
2013;124572,67;0,873341298014704;;
2014;164472,67;0,753152680096485;;
2015;215472,67;0,61139814289896;;
2016;291472,67;0,555698508158976;;
2017;390472,67;0,474579608113;;
2018;490472,67;0,383828575;;
